Date;Open;High;Low;Close;Adj Close;Volume
05/07/2023;13772.09961;13844.5;13764.25;13791.65039;13791.65039;5339340000
06/07/2023;13653.16992;13689.51953;13567.25;13679.04004;13679.04004;6113080000
07/07/2023;13668.07031;13804.50977;13656.73047;13660.71973;13660.71973;5098120000
10/07/2023;13645.37012;13692.41016;13584.87012;13685.48047;13685.48047;5275390000
11/07/2023;13709.80957;13774.83008;13643.32031;13760.7002;13760.7002;4840950000
12/07/2023;13915.63965;13963.4502;13842.12988;13918.95996;13918.95996;5230620000
13/07/2023;14021.15039;14163.79981;14012.24023;14138.57031;14138.57031;5183560000
14/07/2023;14166.66016;14232.11035;14081.95996;14113.7002;14113.7002;5366890000
17/07/2023;14149.91992;14274.41016;14138.00977;14244.9502;14244.9502;4593160000
18/07/2023;14212.25;14396.69043;14176.11035;14353.63965;14353.63965;4824070000
19/07/2023;14398.53027;14446.54981;14317.08984;14358.01953;14358.01953;5112420000
20/07/2023;14273.29004;14309.91992;14030.62012;14063.30957;14063.30957;5128020000
21/07/2023;14148.17969;14179.00977;14020.4502;14032.80957;14032.80957;5254180000
24/07/2023;14081.62988;14110.15039;13997.12988;14058.87012;14058.87012;4083070000
25/07/2023;14093.24023;14201.91016;14092.51953;14144.55957;14144.55957;3812470000
26/07/2023;14123.51953;14187.34961;14041.9502;14127.28027;14127.28027;4322000000
27/07/2023;14319.16016;14360.2002;14006.92969;14050.11035;14050.11035;5115840000
28/07/2023;14199.83008;14344.34961;14188.09961;14316.66016;14316.66016;4453520000
31/07/2023;14337.90039;14370.91016;14292.75;14346.01953;14346.01953;4934440000
01/08/2023;14274.92969;14309.20996;14215.63965;14283.91016;14283.91016;4633770000
02/08/2023;14132.73047;14133.84961;13914.80957;13973.4502;13973.4502;5481960000
03/08/2023;13899.75977;14032.28027;13881.34961;13959.71973;13959.71973;6036970000
04/08/2023;14025.95996;14119.21973;13897.92969;13909.24023;13909.24023;5349450000
07/08/2023;13972.4502;13997.15039;13864.91992;13994.40039;13994.40039;4892330000
08/08/2023;13875.4502;13899.74023;13769.33984;13884.32031;13884.32031;5284550000
09/08/2023;13897.61035;13898.54004;13698.38965;13722.01953;13722.01953;5591360000
10/08/2023;13818.25;13947.16016;13686.50977;13737.99023;13737.99023;5299080000
11/08/2023;13633.65039;13720.33008;13609.98047;13644.84961;13644.84961;4638880000
14/08/2023;13599;13789.16016;13582.49023;13788.33008;13788.33008;4272020000
15/08/2023;13760.48047;13774.98047;13611.94043;13631.04981;13631.04981;4473320000
16/08/2023;13593.16992;13644.32031;13473.03027;13474.62988;13474.62988;6243760000
17/08/2023;13527.29981;13535.08984;13303.4502;13316.92969;13316.92969;5280180000
18/08/2023;13190.01953;13335.87012;13161.75977;13290.78027;13290.78027;4801910000
21/08/2023;13347.25977;13516.86035;13325.58984;13497.58984;13497.58984;4363070000
22/08/2023;13593.9502;13598.76953;13484.37988;13505.87012;13505.87012;4282430000
23/08/2023;13532.42969;13757;13532.42969;13721.03027;13721.03027;4127850000
24/08/2023;13834.30957;13834.69043;13462.83984;13463.96973;13463.96973;4383820000
25/08/2023;13514.37012;13633.41992;13376.34961;13590.65039;13590.65039;3970060000
28/08/2023;13695.36035;13735.98047;13626.63965;13705.12988;13705.12988;3666680000
29/08/2023;13687.23047;13959.80957;13677.05957;13943.75977;13943.75977;4748180000
30/08/2023;13961.76953;14050.82031;13924.2002;14019.30957;14019.30957;4364600000
31/08/2023;14041.54004;14114.66992;14010.48047;14034.96973;14034.96973;4568610000
01/09/2023;14129.95996;14149.62012;13982.41992;14031.80957;14031.80957;4033960000
05/09/2023;13994.54004;14060.84961;13945.65039;14020.9502;14020.9502;4379790000
06/09/2023;13988.80957;14001.9502;13802.41992;13872.46973;13872.46973;4215320000
07/09/2023;13675.11035;13774.62988;13642.46973;13748.83008;13748.83008;4320830000
08/09/2023;13754.70996;13843.37012;13733.17969;13761.53027;13761.53027;4160360000
11/09/2023;13884.03027;13937.46973;13805.12988;13917.88965;13917.88965;4538870000
12/09/2023;13858.94043;13913.59961;13763.69043;13773.61035;13773.61035;4595490000
13/09/2023;13773.66992;13868.57031;13733.82031;13813.58984;13813.58984;4840310000
14/09/2023;13889.75977;13957.57031;13810.66016;13926.04981;13926.04981;4649010000
15/09/2023;13889.2002;13895.75;13684.24023;13708.33008;13708.33008;8162210000
18/09/2023;13669.95996;13751.28027;13663.45996;13710.24023;13710.24023;4855880000
19/09/2023;13649.44043;13705.15039;13578.87012;13678.19043;13678.19043;4453460000
20/09/2023;13710.25977;13727.80957;13467.28027;13469.12988;13469.12988;4782440000
21/09/2023;13328.05957;13362.23047;13222.55957;13223.98047;13223.98047;5014890000
22/09/2023;13287.16992;13353.21973;13200.63965;13211.80957;13211.80957;4302700000
25/09/2023;13172.54004;13277.83008;13132;13271.32031;13271.32031;4100290000
26/09/2023;13180.95996;13199.12988;13033.40039;13063.61035;13063.61035;4693540000
27/09/2023;13115.36035;13156.37012;12963.16016;13092.84961;13092.84961;4841410000
28/09/2023;13043.37012;13270.96973;13025.11035;13201.28027;13201.28027;4648390000
29/09/2023;13337.70996;13382.98047;13177.08984;13219.32031;13219.32031;5138500000
02/10/2023;13217.98047;13364.03027;13204.08008;13307.76953;13307.76953;4554700000
03/10/2023;13229.67969;13280.04004;13008.59961;13059.46973;13059.46973;4684310000
04/10/2023;13092.91992;13258.75977;13072.50977;13236.00977;13236.00977;4308070000
05/10/2023;13228.12012;13251.17969;13087.57031;13219.83008;13219.83008;4167470000
06/10/2023;13127.67969;13472.26953;13099.03027;13431.33984;13431.33984;4309420000
09/10/2023;13326.21973;13509.29981;13277.48047;13484.24023;13484.24023;3835930000
10/10/2023;13505.80957;13659.62988;13491.80957;13562.83984;13562.83984;4301350000
11/10/2023;13619.20996;13671.11035;13549.29004;13659.67969;13659.67969;4160440000
12/10/2023;13672.46973;13714.13965;13491.55957;13574.21973;13574.21973;4858620000
13/10/2023;13613.58984;13619.54004;13361.84961;13407.23047;13407.23047;4251550000
16/10/2023;13453.80957;13598.04981;13447.16992;13567.98047;13567.98047;4308690000
17/10/2023;13419.87012;13602.25;13364.74023;13533.75;13533.75;4417640000
18/10/2023;13439.67969;13499.74023;13275.29981;13314.29981;13314.29981;4617140000
19/10/2023;13354.79981;13404.73047;13157.33008;13186.17969;13186.17969;5014790000
20/10/2023;13157.76953;13177.34961;12977.42969;12983.80957;12983.80957;4622840000
23/10/2023;12930.84961;13143.21973;12848.83008;13018.33008;13018.33008;4669060000
24/10/2023;13084.99023;13170.38965;13022.84961;13139.87012;13139.87012;4604720000
25/10/2023;13039.86035;13042.51953;12804.29981;12821.21973;12821.21973;4599850000
26/10/2023;12768.96973;12818.13965;12543.86035;12595.61035;12595.61035;4894900000
27/10/2023;12718.69043;12772.42969;12600.57031;12643.00977;12643.00977;4172100000
30/10/2023;12750.46973;12842.95996;12691.55957;12789.48047;12789.48047;4149320000
31/10/2023;12786.62012;12859.40039;12697.04004;12851.24023;12851.24023;4315630000
01/11/2023;12887.05957;13072.41992;12875.2002;13061.46973;13061.46973;4545120000
02/11/2023;13230.49023;13302.17969;13177.63965;13294.19043;13294.19043;4962950000
03/11/2023;13362.84961;13520.28027;13344.73047;13478.28027;13478.28027;4918750000
06/11/2023;13514.08008;13551.62012;13435.99023;13518.78027;13518.78027;4345850000
07/11/2023;13555.79004;13675.45996;13516.55957;13639.86035;13639.86035;4354460000
08/11/2023;13660.21973;13684.87012;13573.58008;13650.41016;13650.41016;4685550000
09/11/2023;13693.7002;13697.82031;13506.01953;13521.4502;13521.4502;5313970000
10/11/2023;13571.19043;13802.53027;13556.34961;13798.11035;13798.11035;4722140000
13/11/2023;13745.95996;13805.11035;13687.78027;13767.74023;13767.74023;4349590000
14/11/2023;14015.37012;14124.05957;14003.13965;14094.37988;14094.37988;5332490000
15/11/2023;14147.26953;14194.36035;14060.7002;14103.83984;14103.83984;5063830000
16/11/2023;14066.87988;14130.4502;14033.79004;14113.66992;14113.66992;4545180000
17/11/2023;14101.44043;14154.32031;14063.92969;14125.48047;14125.48047;4408640000
20/11/2023;14134.75;14309.79981;14134.2002;14284.53027;14284.53027;4561810000
21/11/2023;14217.23047;14237.5;14146.30957;14199.98047;14199.98047;4128600000
22/11/2023;14283.82031;14359.61035;14226.62988;14265.86035;14265.86035;3855240000
24/11/2023;14238.04004;14270.28027;14214.12988;14250.84961;14250.84961;2541840000
27/11/2023;14239.30957;14305.70996;14205.24023;14241.01953;14241.01953;4205880000
28/11/2023;14224.62988;14303.66016;14195.71973;14281.75977;14281.75977;4474400000
29/11/2023;14367.11035;14423.21973;14247.88965;14258.49023;14258.49023;4890220000
30/11/2023;14265.04981;14289.2002;14127.04981;14226.21973;14226.21973;5678070000
01/12/2023;14181.34961;14311.9502;14135;14305.03027;14305.03027;5607000000
04/12/2023;14168.66016;14197.51953;14058.51953;14185.49023;14185.49023;6270020000
05/12/2023;14126.40039;14285.66016;14121.75977;14229.91016;14229.91016;6179120000
06/12/2023;14325.62012;14327.62988;14138.50977;14146.70996;14146.70996;5167030000
07/12/2023;14230.42969;14353.11035;14220.87012;14339.99023;14339.99023;5694310000
08/12/2023;14279.45996;14416.91992;14264.95996;14403.96973;14403.96973;5430840000
11/12/2023;14340.12988;14436.08008;14324.57031;14432.49023;14432.49023;5607820000
12/12/2023;14423.00977;14533.40039;14385.38965;14533.40039;14533.40039;4950100000
13/12/2023;14555.67969;14743.54981;14517.51953;14733.95996;14733.95996;6732040000
14/12/2023;14798.71973;14855.62012;14642.23047;14761.55957;14761.55957;8033170000
15/12/2023;14797.45996;14848.40039;14753.16016;14813.91992;14813.91992;8377630000
18/12/2023;14814.01953;14938.04004;14811.82031;14904.80957;14904.80957;5866080000
19/12/2023;14923.01953;15003.79981;14921.59961;15003.21973;15003.21973;5757180000
20/12/2023;14973.36035;15069.29004;14776.29004;14777.94043;14777.94043;6294700000
21/12/2023;14923.13965;14970.80957;14837.46973;14963.87012;14963.87012;5465640000
22/12/2023;15006.17969;15047.19043;14927.12012;14992.96973;14992.96973;4796600000
26/12/2023;15028.69043;15101.17969;15024.05957;15074.57031;15074.57031;6120600000
27/12/2023;15089.66016;15114.08008;15051.66992;15099.17969;15099.17969;7480170000
28/12/2023;15142.08984;15150.07031;15087.21973;15095.13965;15095.13965;5090570000
29/12/2023;15099.2002;15111.41016;14955.37012;15011.34961;15011.34961;5441060000
02/01/2024;14873.7002;14887.79981;14682.37988;14765.94043;14765.94043;5791170000
03/01/2024;14641.46973;14694.58008;14577.44043;14592.20996;14592.20996;5449950000
04/01/2024;14532.23047;14632.76953;14504.78027;14510.29981;14510.29981;5289220000
05/01/2024;14500.11035;14625.19043;14477.57031;14524.07031;14524.07031;5232820000
08/01/2024;14564.46973;14846.90039;14560.2002;14843.76953;14843.76953;6337770000
09/01/2024;14744.12988;14894.32031;14716.70996;14857.70996;14857.70996;5068410000
10/01/2024;14877.7002;14998.2002;14842.7002;14969.65039;14969.65039;4404590000
11/01/2024;15020.9502;15063.61035;14800.37988;14970.19043;14970.19043;5044690000
12/01/2024;15001.00977;15047.25;14931.87988;14972.75977;14972.75977;4958940000
16/01/2024;14908.25977;15004.34961;14863.80957;14944.34961;14944.34961;6386180000
17/01/2024;14814.76953;14865.75977;14706.23047;14855.62012;14855.62012;5181740000
18/01/2024;14994.51953;15066.80957;14911.11035;15055.65039;15055.65039;5587440000
19/01/2024;15122.37988;15310.96973;15087.2002;15310.96973;15310.96973;5604950000
22/01/2024;15393.04981;15438.84961;15333.62988;15360.29004;15360.29004;5456240000
23/01/2024;15391.41016;15432.34961;15337.23047;15425.94043;15425.94043;5207680000
24/01/2024;15560.61035;15629.07031;15468.91016;15481.91992;15481.91992;4983210000
25/01/2024;15555.62012;15597.25;15430.67969;15510.5;15510.5;5281570000
26/01/2024;15474.84961;15538.83984;15433.04004;15455.36035;15455.36035;4510530000
29/01/2024;15470.66016;15630.58008;15449.87012;15628.04004;15628.04004;4979310000
30/01/2024;15604.08008;15619.23047;15484.66992;15509.90039;15509.90039;4719240000
31/01/2024;15324.19043;15405.55957;15158.49023;15164.00977;15164.00977;5875610000
01/02/2024;15254.01953;15372.12988;15208.87988;15361.63965;15361.63965;5046920000
02/02/2024;15403.16016;15664.20996;15366.78027;15628.9502;15628.9502;4800690000
05/02/2024;15613.99023;15637.87988;15471.67969;15597.67969;15597.67969;4831020000
06/02/2024;15638.19043;15652.75;15515.25;15609;15609;4759640000
07/02/2024;15690.34961;15770.67969;15645.80957;15756.63965;15756.63965;4567580000
08/02/2024;15762.23047;15813.26953;15739.17969;15793.70996;15793.70996;5675850000
09/02/2024;15842.37988;16007.29004;15831.75977;15990.66016;15990.66016;5797260000
12/02/2024;15980.62012;16080.07031;15917.87012;15942.54981;15942.54981;5458490000
13/02/2024;15598.87988;15770.41992;15551.44043;15655.59961;15655.59961;5599860000
14/02/2024;15781.70996;15865.50977;15683.94043;15859.15039;15859.15039;5092660000
15/02/2024;15865.29981;15911.21973;15779.71973;15906.16992;15906.16992;6049100000
16/02/2024;15910.42969;15917.41016;15752.01953;15775.65039;15775.65039;5223800000
20/02/2024;15679.83984;15730.46973;15508.5;15630.78027;15630.78027;5595700000
21/02/2024;15532.12012;15583.67969;15451.65039;15580.87012;15580.87012;4845740000
22/02/2024;15904.48047;16061.82031;15869.24023;16041.62012;16041.62012;5653930000
23/02/2024;16094.79981;16134.21973;15954.5;15996.82031;15996.82031;5077910000
26/02/2024;16014.4502;16054.90039;15973.90039;15976.25;15976.25;5417630000
27/02/2024;16013.98047;16046.09961;15940.50977;16035.29981;16035.29981;5423020000
28/02/2024;15969.13965;16003.55957;15924.71973;15947.74023;15947.74023;5581690000
29/02/2024;16059.33984;16115.95996;15931.7002;16091.91992;16091.91992;6265340000
01/03/2024;16109.83008;16302.24023;16096.59961;16274.94043;16274.94043;5457910000
04/03/2024;16264.20996;16289.05957;16199.05957;16207.50977;16207.50977;5725470000
05/03/2024;16077.74023;16087.57031;15862.62988;15939.58984;15939.58984;6356800000
06/03/2024;16092;16128.55957;15956.66016;16031.54004;16031.54004;5511370000
07/03/2024;16147.32031;16309.01953;16096.00977;16273.37988;16273.37988;5072790000
08/03/2024;16322.09961;16449.69922;16059.5;16085.11035;16085.11035;5411790000
11/03/2024;16052.62988;16085.9502;15978.04004;16019.26953;16019.26953;4917620000
12/03/2024;16116.98047;16275.4502;15992.98047;16265.63965;16265.63965;5100330000
13/03/2024;16220.11035;16233.29981;16143.33984;16177.76953;16177.76953;4839000000
14/03/2024;16209.19043;16245.32031;16039.67969;16128.53027;16128.53027;5450980000
15/03/2024;16043.58008;16055.33008;15925.91016;15973.16992;15973.16992;8261950000
18/03/2024;16154.91992;16247.58984;16094.16992;16103.4502;16103.4502;5025040000
19/03/2024;16031.92969;16175.58984;15951.86035;16166.79004;16166.79004;4758740000
20/03/2024;16185.75977;16377.44043;16127.48047;16369.41016;16369.41016;5298380000
21/03/2024;16517.24023;16538.85938;16393.90039;16401.83984;16401.83984;5134740000
22/03/2024;16387.83008;16467.61914;16361;16428.82031;16428.82031;4339930000
25/03/2024;16335.29981;16441.16992;16315.71973;16384.4707;16384.4707;4636940000
26/03/2024;16446.84961;16476.38086;16312.9502;16315.7002;16315.7002;5144260000
27/03/2024;16424.75977;16431.82031;16279.16992;16399.51953;16399.51953;4768930000
28/03/2024;16377.23047;16420.91992;16347.37988;16379.45996;16379.45996;5174450000
01/04/2024;16397.05078;16490.65039;16327.88965;16396.83008;16396.83008;4798390000
02/04/2024;16199.24023;16251.41016;16137.24023;16240.4502;16240.4502;4710280000
03/04/2024;16178.79981;16340.74023;16169.30957;16277.45996;16277.45996;5151500000
04/04/2024;16418.57031;16468.03906;16046.55957;16049.08008;16049.08008;5368700000
05/04/2024;16095.40039;16326.5;16080.48047;16248.51953;16248.51953;4578130000
08/04/2024;16285.17969;16323.59961;16220.71973;16253.95996;16253.95996;4386700000
09/04/2024;16328.75977;16348.17969;16141.15039;16306.63965;16306.63965;4869190000
10/04/2024;16104.00977;16200.09961;16092.01953;16170.36035;16170.36035;5308250000
11/04/2024;16236.2002;16464.59961;16154.65039;16442.19922;16442.19922;4714750000
12/04/2024;16293.03027;16341.45996;16125.33008;16175.08984;16175.08984;4552740000
15/04/2024;16276.46973;16295.26953;15863.87988;15885.01953;15885.01953;4910550000
16/04/2024;15856.37988;15965.79004;15822.01953;15865.25;15865.25;5001860000
17/04/2024;15942.29004;15957.03027;15654.50977;15683.37012;15683.37012;4991470000
18/04/2024;15705.69043;15786.12012;15587.5;15601.5;15601.5;4932540000
19/04/2024;15547.09961;15576.7002;15222.78027;15282.00977;15282.00977;5316010000
22/04/2024;15396.12988;15539;15265.66016;15451.30957;15451.30957;4616730000
23/04/2024;15525.54981;15730.34961;15510.58984;15696.63965;15696.63965;4951670000
24/04/2024;15805.59961;15839;15634.44043;15712.75;15712.75;4735870000
25/04/2024;15375.25977;15644.50977;15343.91016;15611.75977;15611.75977;4743640000
26/04/2024;15821.33984;15981;15770.71973;15927.90039;15927.90039;4694400000
29/04/2024;16007;16021.49023;15885.88965;15983.08008;15983.08008;4972520000
30/04/2024;15920.88965;15979.36035;15655.66992;15657.82031;15657.82031;5229400000
01/05/2024;15646.08984;15926.21973;15557.63965;15605.48047;15605.48047;5277790000
02/05/2024;15758.11035;15862.79004;15604.73047;15840.95996;15840.95996;4901610000
03/05/2024;16147.48047;16204.70996;16068.33984;16156.33008;16156.33008;4887310000
06/05/2024;16208.54004;16350.08008;16197.86035;16349.25;16349.25;4460130000
07/05/2024;16358.33984;16397.39063;16303.83984;16332.55957;16332.55957;5041870000
08/05/2024;16226.07031;16341.65039;16226.07031;16302.75977;16302.75977;4530190000
09/05/2024;16323.74023;16362.79004;16241.98047;16346.25977;16346.25977;4505120000
10/05/2024;16389.01953;16437.39063;16293.51953;16340.87012;16340.87012;4402110000
13/05/2024;16400.31055;16407.05078;16334.86035;16388.24023;16388.24023;4452750000
14/05/2024;16391.16016;16526.26953;16386.42969;16511.17969;16511.17969;7270240000
15/05/2024;16601.14063;16749.74023;16544.08984;16742.39063;16742.39063;8538990000
16/05/2024;16738.10938;16797.83008;16693.44922;16698.32031;16698.32031;11932600000
17/05/2024;16708.49023;16726.41016;16613.83984;16685.9707;16685.9707;9587280000
20/05/2024;16702.01953;16823.83008;16695.68945;16794.86914;16794.86914;6861320000
21/05/2024;16736.09961;16839.01953;16719.9707;16832.61914;16832.61914;6245090000
22/05/2024;16839.01953;16855.26953;16712.08984;16801.53906;16801.53906;7277340000
23/05/2024;16996.39063;16996.39063;16678.36914;16736.0293;16736.0293;7752800000
24/05/2024;16786.78906;16947.80078;16771.58008;16920.78906;16920.78906;5836040000
28/05/2024;16988.31055;17032.66016;16917.50977;17019.88086;17019.88086;6293380000
29/05/2024;16879.34961;16989.59961;16873.9707;16920.58008;16920.58008;6652480000
30/05/2024;16878.63086;16900.46094;16690.35938;16737.08008;16737.08008;6659290000
31/05/2024;16771.90039;16789.26953;16445.53906;16735.01953;16735.01953;6674090000
03/06/2024;16865.69922;16909.89063;16646.42969;16828.66992;16828.66992;5422040000
04/06/2024;16823.88086;16891.86914;16750.39063;16857.05078;16857.05078;4917350000
05/06/2024;16974.48047;17187.91992;16955.56055;17187.90039;17187.90039;5325000000
06/06/2024;17204.86914;17235.73047;17123.58984;17173.11914;17173.11914;4960580000
07/06/2024;17124.14063;17229.31055;17090.03906;17133.13086;17133.13086;4755650000
10/06/2024;17083.44922;17213.44922;17057.33984;17192.5293;17192.5293;5207110000
11/06/2024;17160.41992;17345.05078;17107.99023;17343.55078;17343.55078;5009220000
12/06/2024;17502.15039;17725.39063;17490.64063;17608.43945;17608.43945;5560630000
13/06/2024;17715.26953;17741.80078;17566.32031;17667.56055;17667.56055;4916020000
14/06/2024;17621.17969;17693.42969;17590.80078;17688.88086;17688.88086;4973820000
17/06/2024;17697.30078;17935.99023;17636.35938;17857.01953;17857.01953;6061200000
18/06/2024;17856.75977;17890.51953;17796.88086;17862.23047;17862.23047;5796180000
20/06/2024;17913.93945;17936.78906;17650.68945;17721.58984;17721.58984;6289300000
21/06/2024;17681.00977;17787.33984;17620.57031;17689.35938;17689.35938;8589160000
24/06/2024;17640.25977;17730.11914;17494.01953;17496.82031;17496.82031;5503210000
25/06/2024;17572.16016;17734.33984;17546.63086;17717.65039;17717.65039;4848280000
26/06/2024;17697.26953;17813.55078;17687.07031;17805.16016;17805.16016;5294310000
27/06/2024;17793.94922;17892.7793;17765.41992;17858.67969;17858.67969;5382060000
28/06/2024;17891.09961;18035;17723.83008;17732.59961;17732.59961;8960940000
01/07/2024;17773.90039;17894.2793;17657.64063;17879.30078;17879.30078;5189990000
02/07/2024;17808.03906;18031.28906;17802.24023;18028.75977;18028.75977;4526550000
03/07/2024;18016.11914;18188.30078;18016.11914;18188.30078;18188.30078;3713960000
05/07/2024;18200.59766;18255.30078;18197.09961;18207.57617;18207.57617;630424794
